description,claimType
Under ground hor water leak,ESCAPEWATER
On turning back on my heating system and hot water from my boiler i have had a leak from pipe work come thtough my living room ceiling. I have had the boiler serviced this year and british gas in to check my boiler. They have clarified that my boiler is in perfect condition and the leak is from pipework that leads out from the boiler. I have had to isolate and use my immersion boiler so the leak coming through the living room ceiling doesnt get any worse.,ESCAPEWATER
A water leak coming through my hallway ceiling,ESCAPEWATER
My house was burgled,BURGLARY
I have noticed a large crack on my floor tiles round my toilet seat that has gradually got worse I have lifted one of my tiles up and found the floor has rotted through due to water from somewhere,ESCAPEWATER
Damaged MacBook Air whilst at the pub that wasn’t my fault,ADCONTENTS
My front window has been vandalised,VANDALISM
washing machine cannot get rid of the rinse water and it overflows into out utility. The kitchen sink also fills but does not overflow.,BLOCKEDDRAINS
My dog destroyed my temporary bridge!,ADCONTENTS
Significant cracks developing on the adjoining walls of our & the neighbouring property. Investigation by neighbours insurers has confirmed movement caused by subsidence & are proceeding to deal with her claim accordingly.,SUBSIDENCE
"Water leak from old pipes within our boundary, required emergency work to be undertaken to find the leak and repair. Currently have temporary fix until a permanent job can be done.",ESCAPEWATER
potential legal action from neighbour,PLPROPERTY
Water leak underfloor,ESCAPEWATER
I have peeled wall paper in my house and noticed some cracks,SUBSIDENCE
My iPhone was stolen,THEFTSPECIFIED
Pipe attached to a boiler sprang a leak. this caused and issue with the boiler which has been condemned by the gas safety engineer so it cannot be used. Also to stop any further damage gas supply was disconnected at the meter. New boiler need to be fitted,ESCAPEWATER
"Storm damage to roof, causing slates to come off and water to come through living room ceiling",STORM
Door blew off in wind,STORM
cracks on inside and outside of property,SUBSIDENCE
Due to storm force winds on 19th September 2018 a substantial branch/limb on an  adjacent tree broke off and landed on the roof of my static caravan causing moderate damage to several roof panels and guttering,TREEFALL
A storm blew down my fence and snapped a post,STORM
Some tiles have come off our roof causing small leak in the storm,STORM
I filled my oil tank full of oil within 2 days I noticed the monitor had went down. I went outside and the oil was swirling out of the tank.,ESCAPEOIL
I had a plumber up as there was bubbling on the wall around my fireplace. He put his hand in the grate and it was all wet. Also the fireplace was disconnecting from wall. The plumber said there is a leak in the back boiler. Fireplace will need to come out to fix this. Has also caused a crack in the grate.,ESCAPEWATER
a storm blew down the parasol on our outside dining table breaking two of the arms.,STORM
water leaking from ensure shower in to garage,ESCAPEWATER
Water leak from under bath. Had to remove wooden panel from bath and need to remove sink cabinet to access the leak. Water leak has caused significant damage to wooden flooring throughout the property.  Can’t use bathroom currently.,ESCAPEWATER
The waste from my upstairs or possible from the boiler is leaking badly and there is water coming through my ceiling. I am worried it may collapse and am unsure what to do.,ESCAPEWATER
water leaking through the ceiling,STORM
"Due to severe storm last week .the wind took a fair amount of plaster /pebble dash on the side of my gable wall.Please advise of how I get this repaired. Thank you ,Christine Crawford",STORM
there was a significant leak of rain water into our daughter's bedroom due to an area of roofing that was ripped off during the recent storm,STORM
"sewage blockage which has ended up with contaminated water going under my house, probably 2-3 feet in depth, is there a health issue with contaminated water? please advise",BLOCKEDDRAINS
A guest urinated on our duresta sofa right through the cushions and through to the body of the sofa i.e. the frame. We have had all cushions dry cleaned and sofa i industrially cleaned but there continues to be a smell of urine so we need to replace the whole thing.,ADCONTENTS
Friday 21st September 18:56  Plassey st fish bar in Penarth Removal of battery controller Arrived at fish bar at 18:53 On exiting i saw a youth with a dark grey hoodie riding down  Plassey st then turning left into Ascot st I dialled 999 at 18:58 to report theft The police checked video cameras available and saw theft but other than a distinctive hoodie weren’t able to see the face. PC Matthew Brown investigated the theft looking at 2 further businesses with CCTV but was unable to get a facial photo  Crime reference:1800360927 Frame A6L21472 Colour frosted white Matt,THEFTSPECIFIED
Hair dryer was dropped on bed and burnt the mattress,ADCONTENTS
Daughter was playing in living room and accidentally threw toy at tv screen.,ADCONTENTS
The children were playing in the living room and the TV for knocked off the TV stand and will not turn on,ADCONTENTS
Rear store room inside roof damaged/collapsed.  Also front porch door and rear 2 x door have become very insecure and do not close properly leaving it vulnerable.,STORM
After the dry summer we have a couple of cracks in walls and a floor that we would like to be inspected,SUBSIDENCE
"there are water marks on the ceiling in the hallway and downstairs toilet which I'm guessing are caused by a slow leak(?) as the ceilings don't feel damp but they have appeared about a month after having the ceilings repainted so must be fresh, if that makes sense?",ESCAPEWATER
Drain smell spewing up from under the floor and getting worse. No obvious sign can be detected.,BLOCKEDDRAINS
A water leak from my utility into play room under my oak flooring,ESCAPEWATER
Lock was drilled and tools were stolen,BURGLARY
electric sockets failing throughout house. Had to call an electrician out to check all sockets and other electrics. This cost 163.00. They advised in report that the fuse box will need replacing and that the safety switch in the bathroom to the shower is not earthed.,WIRINGFAULT
Boiler has blown up due to a power surge,BOILER
"Cracks have appeared after the summer which we thought were cosmetic but have got bigger and there are cracks to brickwork on the exterior, on further inspection some windows aren’t closing properly that were when we first moved in. Tried to report this last week via the call centre but the representative was very unhelpful and rude.",SUBSIDENCE
The boiler in the house a has burnt out,BOILER
A burglary house broken into,BURGLARY
Major leak in toilet with flooded bathroom floor,ESCAPEWATER
There is water leaking from the bathroom into the kitchen,ESCAPEWATER
"Ceiling is leaking in the kitchen, caused by the shower upstairs.",ESCAPEWATER
Attempted break in at back of house,BURGLARY
"at approximately 4.15am a burglar attempted to force entry via the patio door shattering the double glazed unit.  We were awoken by the sound, the alarm went off and we ran downstairs and the burglar fled.  The Police were immediately called.  The property is now not secure and is open to the elements. We need someone to urgently repair the property.",BURGLARY
My wife has lost her wedding ring and engagement ring and wedding ring,ADSPECIFIED
"Report of theft from home given to police. On Wednesday 26th September, I noticed that both doors of both sets of french doors in and out of our conservatory had been left unlocked. There was no sign of any forced entry. We very rarely use the “slave” door and we assumed the cleaners had left it unlockedDuring the week following we started to notice items missing. To date we have identified:Radley lady’s watchmaster bedroomPiggy bank of £2 coins“2 x dvd“Sony sureshot camera“Small wooden chest containing numerous tie pins and cufflinks“Pair of silver and diamante earings“CCTV unit including hard driveutility roomThe cleaners were last in the property on the previous Monday the 24th whilst we were at workDone and Dusted cleaning run by Emma Backhouse, 69 Victoria Road, Barnetby, 07940376677We informed Ms Backhouse of the situation and that we no longer wished to use their services on 30th September. They have returned our keys",BURGLARY
My washing machine flooded over my kitchen floor which has expanded the underlay and warped the wood. The floor now has a bow and is raised,ESCAPEWATER
"Burglary at our house. Entered home by smashing patio door in the lounge. Also smashed to other doors. We have lost watches, cameras and jewelry. Police have been.",BURGLARY
"Velux roof window in Kitchen leaking.  Water puddling in kitchen  and crack appeared in ceiling plaster around one window.  Two other puddles forming it kitchen, water entering above bi-fold doors but seems to be running down from two other velux windows.  All installed when extension built in 2012.  Heavy rain and winds currently.",ESCAPEWATER
two necklaces have been lost,ADCONTENTS
Our dishwasher leaked out over the kitchen floor and kitchen plinths. It has ruined the laminate floor and the plinth which have swelled up.,ESCAPEWATER
Storm broke tree that collapsed onto patio and furniture. Tree needs to be removed in order to establish if it has caused any damage.   Also two large glass sections from a bifold door was pulled from it’s hinges and thrown a few feet across the garden.  Temporary boarding has been fitted as per the attached pictures.,STORM
I have water coming in through the roof in the loft. It is dripping through my upstairs playroom. We have also noticed water starting to come through the kitchen outside wall. We have put buckets under it in the loft to stop any more damage.,ESCAPEWATER
"I had noticed dampness and coolant liquid in the heating boiler cupboard and as the annual inspection was due I called the engineer who attended 111018 and a leak was detected. He stated the diaphragm will need replacing requiring a complete strip down - estimated costs in region of £250, Is this covered under my policy ?. The full repair is taking place once the new parts are in. The leak is now reduced but ongoing ever so slightly.",ESCAPEWATER
Fence damage in high wind,STORM
Kitchen ceiling is about to fall in it looks to be a pipe leaking the ceiling has gone like  sponge ill not press it as there will be water all over ! Sealing might cave in ! I need some advise ! Or can you get someone to come look at it please !... if not i can  expect  the kitchen seling to be all over the floor !!,ESCAPEWATER
"Front garden fence damaged overnight,  probably by a vehicle",IMPACT
Back door glass cracked,ADBUILDINGS
Leak - wall and around window. At same time noted crack on outside of house,ESCAPEWATER
"I accidentally put my mobile phone into the wash when loading the washing machine, I knew nothing about it until I emptied the machine after the wash had finished",ADSPECIFIED
Our television screen got accidentally damaged (scratched) whilst the lounge was being redecorated,ADCONTENTS
Kitchen window smashed,BURGLARY
I was in the attic and my foot went through the floor/roof,ADBUILDINGS
there was a leak from the radiator in the downstairs hallway that has caused the wooden floor to buckle upwards. I have tightened the radiator valve and the leak has stopped. However the floor is still damaged,ESCAPEWATER
central heating  boiler breakdown,BOILER
"My wife was standing during a train journey and lost her footing as the train moved, causing her to bang her watch on a metal support pole. This damaged the watch making it run very slowly, Charlotte took it to an authorised Rolex jeweller (Watches of Switzerland) who said that it needed to be sent to the Rolex Repair Centre for assessment and then they would send a quote. She has received the quote for the repair on 13th October for £755 - I can share the email from Watches of Switzerland",ADSPECIFIED
Theft of a laptop from a train,THEFTSPECIFIED
Pipes in ensuite bathroom have been leaking under the floor of that room.Plumber has isolated so that there is no further damage caused. No visible damage as water is lying under tiles. Awaiting photographs from dyno rod.,ESCAPEWATER
someone broke in and the house is not secure,BURGLARY
I noticed a wet patch on the wall in the hallway which suggested a water leak. I called out a plumber who came to investigate. He couldn’t find the source of the leak but put a mark on the central heating pressure to be able to rule out that it was that. He was coming back in a couple of days but never returned and ignored my calls.  I called out another plumber who investigated and couldn’t find the source of the leak either. He looked upstairs and came to the conclusion that he thinks it could be an issue with roof or gutters and some further investigation is needed by a roofer.,ESCAPEWATER
Emergency drain excavation. Pipe works needs replacing so drainage works can function,BLOCKEDDRAINS
Water leak to property not known where,ESCAPEWATER
Gas pipe was damaged when my husband Ashley Gunn was digging,ADBUILDINGS
lost diamond from ring,ADSPECIFIED
"Our home was broken into, we had several items stolen, including shotguns and air rifle, tools, clarinet and mountain bike.  Damage to the front door and internal walls.",BURGLARY
Leaking pipes underneath bathroom floor,ESCAPEWATER
I have had my car broken into and approx £2k worth of cash stolen as well as several items.,THEFTSPECIFIED
Phone fell out of pocket and screen shattered.,ADSPECIFIED
external drain is blocked on the side on the house,BLOCKEDDRAINS
"Water leak, possibly originating from ensuite, water leaking through kitchen ceiling, near electric lights! Unsure if water is still lying in ceiling!",ESCAPEWATER
The window was accidentally cracked whilst cleaning the house.,ADBUILDINGS
"bathroom had a leak, the under flow pipe was crached",ESCAPEWATER
We've arrived back home and found that our boiler is leaking and dripping on the floor after the guests checked out this morning.  It's from somewhere inside the boiler.,ESCAPEWATER
"My 3 year old son threw a toy at the tv screen which cracked the tv screen. The toy then ricocheted off the TV knocking a glass over, the contents of which entered our CCTV video recorder causing damage to that also.",ADCONTENTS
Roof damaged by rain water,ESCAPEWATER
Mac laptop not fixable,ADSPECIFIED
Rolex Submariner was stolen from Nuffield Health gym in London Paddington from a locked locker (it was subsequently opened by the thief).  The police have been notified and have provided me with a crime reference number.,THEFTSPECIFIED
Water coming in hallway,ESCAPEWATER
"On 1 November at approximately 2.45pm, there was a a tremendous leak coming from the ceiling of one of the ground floor rooms. It spread to a number of different rooms and lots of ceilings were soaked. We had an Electrician working in a downstairs bathroom at the time approximately 2 metres from what we eventually discovered was the source of the leak and who first noticed it. He says he hadn't done anything in the vicinity nor was screwing anything into the ceiling at the time.  We called the Plumbers round who, by lifting up flooring on the 1st floor, were able to locate the source of the leak and correct it. Apparently, there was a fitting which had completely blown. He said it was the first time he'd ever seen anything like it.  What I would like is for someone to come along to assess the damage to the ceilings, plasterboard, plasterwork etc. It would be GREAT if there were nothing a few days worth of drying out wouldn't fix (so no need for a claim), but as I'm not the expert, I thought it best contact you so you could do the assessment.",ESCAPEWATER
The water main coming into property is buried under a concrete floor. Where it comes up at a 90 degrees angle the joint has coroded. Having smelt damp we inspected this and seen that the mains water has a leak where joint coroded and failed. Not a small leak but leaving a puddle of water and clearly been leaking for a considerable time. It is located in L shaped kitchen in the corner of the L,ESCAPEWATER
"Our back lock is jammed with the key in it and we are unable to lock it, making the house insecure",ADBUILDINGS
Criminal damage - kids have thrown a pumpkin through the garage window and smashed the glass,VANDALISM
Boiler breakdown. No emergency contact number available as per policy documents. Local boiler repair company called out. £0 excess as this was an emergency - boiler going down on a friday night with no heating or hot water.,BOILER
"Guests have damaged the property by kicking off a door off it's hinges and breaking the door.  There are stains to carpets, stains on the walls, missing knives and knife block.  The house is not able to be used for airbnb or booking.com until the repairs have been made.",VANDALISM
The back patio door has been smashed in and the house burgaled,BURGLARY
damage to front door due to attempted burglary,BURGLARY
"I think there may be a burst pipe or another cause of moisture rising under the kitchen floor. A couple of tiles cracked a while ago but I thought nothing of it and was just going to replace them. This weekend some grouting came away, which prompted me to take a closer look. I was able to pull grouting out from between the tiles and it seems damp - no visible water anywhere but definitely moisture in the grout. I now think the previously cracked tiles may be due to the same cause. There is no smell of damp and no visible signs of moisture in the room next door.",ESCAPEWATER
Leak from a cold water pipe above the kitchen ceiling and below the 1st floor,ESCAPEWATER
"A pipe burst under our upstairs bathroom, leaking into the downstairs of the house for upwards of 3 hours whilst we were at work.",ESCAPEWATER
My wedding ring was lost,ADSPECIFIED
"home was burgled, all caught on cctv police attended lc201811061398",BURGLARY
My washing machine smells of burning,OTHER
"Water pipe burst, in ceiling above front room. Water poured over couch and carpet. Don't know if I will be able to rescue them. I'm trying to dry them out. Pipe work will have to be replaced by a plumber which will need floorboards being lifted in the bedroom to gain access. Possible electrical work  may need to be carried out as the water poured out of the light fitting. I have isolated the water supply to the upstairs but am now unable to use the toilet or bathroom so it's fairly urgent that this is repaired urgently.",ESCAPEWATER
The diamond fell out of my engagement ring,ADCONTENTS
I dropped a bottle of shampoo in the shower and that has resulted in a hairline crack in the shower tray.,ADBUILDINGS
There as been a leek from the shower and resulted in a hole in my kitchen ceiling,ESCAPEWATER
The television screen cracked and broke as a result of a small bang on the floor while fitting the stand to it. This wasn't noticed until it was mounted onto the wall.,ADCONTENTS
my laptop was accidentally dropped on the stone floor and now does not work,ADSPECIFIED
At lunchtime today there was water coming through the kitchen ceiling and through the strip light.,ESCAPEWATER
"rainwater ingress in to property, damaging internal surfaces.",STORM
My house has flooded onthe ground floor,ESCAPEWATER
my soil pipe down to the sewer was blocked in the pipes in my yard,BLOCKEDDRAINS
immersion tank is leaking. Water is coming through the floor and through the ceiling below,ESCAPEWATER
"Slow leak from bathroom into bedroom, damaging ceiling and items in room. Leak is stopped, as it was from the boiler",ESCAPEWATER
Late last night we identified some water spots on our ceiling in the living room. We turned the water off and went to bed. This morning the water spots had dried out and we turned the water back on to get the children ready for school. When returning the spots on the living room ceiling had returned and we also noticed water running slightly down the back of the extractor fan and clear back splash in our kitchen. We have since turned the water back off and it now remains off. We believe that this is coming from our shower in our en suite.,ESCAPEWATER
"A car has crashed into my front garden wall. The driver is refusing to pay or use their insurance. I want to know if I can use my home insurance to bill her car insurance for the damage. If you could phone be to discuss. I have her vehicle reg number, name, address and phone number. I also have a crime reference number for the incident. Thnaks",IMPACT
Cup fell from cupboard onto induction hob and cracked the glass,ADBUILDINGS
"Kitchen appliances, wall lights, and a Vacuum Cleaner stolen during a Burglary.",BURGLARY
a burglary and I need to change my locks and want to know if you have authorised locksmiths or can I use anyone,BURGLARY
. Shower waste repaired but unseen leak behind gradually building up. Soaked treated floorboards and they have lifted and soaked up through floor covering. The photos do not show the lift of the floor. Would need to cut back the floor covering to expose the boards.  Hardings have looked at the damage and say that they would have to take the kitchen units out to remove the boards. Hardings company are on 07831 304119,ESCAPEWATER
This a claim made with our previous insurer(Direct Line) Ombudsman advised to initiate a claim with yourselves to address to previous insurer.,SUBSIDENCE
"My wife has lost her engagement ring, she last remembers wearing  it on Sunday 11th November at home. I’ll have the original receipt, if it’s something you can replace for her through this policy.",ADSPECIFIED
Boiler started leaking and needed replacement,ESCAPEWATER
I accidentally damaged a floor lamp.  I was carrying a tall plant and did not see the lamp and knocked it over.,ADCONTENTS
There is water coming from somwhere on my kitchen floor,ESCAPEWATER
our floor is damp/wet and i can push my finger into the wooden floorboard under the flooring,ESCAPEWATER
Living room Tv damaged by 3 year old son,ADCONTENTS
My wife has lost her engagement ring,ADSPECIFIED
"My 6 year old son entered the main living room on his scooter. As he rode on his scooter across the carpet myself and my wife noticed the carpet had been plucked in two strips with the fabric loose. I cut the fabric off the strip as it was catching on footwear and hoovered it hoping the strips wouldn't be too visible. We have tried to ignore it but when we have guest come round to the house they are commenting and this is upsetting my wife. I have lived in property with my wife for the last 14 years and had house insurance for that time and have never made a claim, If we could re-arrange the furniture so the strips would not be visible we would but its due to the fact it is in the centre of the living room. I have added the photos for your viewing",ADCONTENTS
came home and water coming through kitchen ceiling. appears to be coming from bathroom upstairs water is still dripping through light fitting in kitchen,ESCAPEWATER
"I dropped my phone on the tiled kitchen floor and it smashed completely, front and back.",ADCONTENTS
Having new kitchen fitted and work commenced today with rip out of existing kitchen. Builder/joiner found floor boards were rotten and unfortunately feel through the floor. He found that the whole floor area of the kitchen was rotten and needs replacing. Floor cover wasn’t in scope for the project as we were just replacing the kitchen. This is needed urgently as will set the time back for completion of the project and we do not want to be in disarray for Christmas as we are hosting 10 people this year. We don’t want this to ruin our plans  and enjoyment of Christmas this year.,ESCAPEWATER
Having new kitchen fitted and work commenced today with rip out of existing kitchen. Builder/joiner found floor boards were rotten and unfortunately feel through the floor. He found that the whole floor area of the kitchen was rotten and needs replacing. Floor cover wasn’t in scope for the project as we were just replacing the kitchen. This is needed urgently as will set the time back for completion of the project and we do not want to be in disarray for Christmas as we are hosting 10 people this year. We don’t want this to ruin our plans  and enjoyment of Christmas this year.,ESCAPEWATER
"Water started dripping from the hallway ceiling under the bathroom, upon closer inspection I have noticed it has also run down the wall and damaged the wallpaper and left stains on the ceiling. We have now had to stop using the shower as it seems to happen when this is being used. I have also now found slugs on the downstairs toilet floor and noticed damp stains around the base of the toilet, in the grout on the floor around the toilet and in the grout on the tiled skirting. I can not check the cistern as it is tiled in so do not know what is happening behind there.",ESCAPEWATER
"I have found some slugs on the downstairs toilet floor there is damp marks on the grout between some floor tiles, around the base of the toilet and on the tiled skirting. some floor tiles are now also uneven. I can not get to the cistern to see if it is leaking as it is tiled in. It is also on an outside wall so I don't know if the damp is caused from the outside of the house or from the toilet.",ESCAPEWATER
An attempted break-in. There is damage to the patio doors and main living room window,BURGLARY
water leak from bathroom,ESCAPEWATER
"Boiler has leaked and flooded into our daughters bedroom, the ceiling is cracked and leaking",ESCAPEWATER
I dropped my mobile phone face down on the kitchen floor and now when its switched on the screen is completely black and I cant do anything with it.,ADCONTENTS
I was out with my family in skipton and the diamond out my ring fell out of my ring,ADSPECIFIED
Leaking roof in several places looking swolen.,ESCAPEWATER
I slipped on a tiled floor and experience trauma to my face and hands. When I fell I put my hands out and damaged my engagement ring.,ADSPECIFIED
house broken into car and other valuables stolen,BURGLARY
Samsung 40inch tv smashed tv stand collapsed after being hit,ADCONTENTS
My husband was doing the gardening and washing the car on Saturday and that night we both realised his ring had come off. We have looked in the garden and driveway and in the house all weekend but can’t find it anywhere.,ADSPECIFIED
"A mug of tea was spilt on my laptop (Apple MacBook Air 13"" 2013 model) leaving it unable to boot up. It is now unusable.",ADCONTENTS
Burst water pipe under kitchen sink which has flooded the kitchen,ESCAPEWATER
I am extremely upset as I have been wearing my 2 carat white gold ring and at 15.30 I noticed that the top section of diamonds is now missing. I do not know where or when I have lost them. As far as I can see the while square section has completely gone. See pictures. I have no recollection of knocking or hitting this on anything as I am very particular when I wear the ring and I have retraced all steps and have no idea what has happened.,ADSPECIFIED
"Sudden leak from bedroom ceiling which is beneath an en suite on the floor above. Lasted ten minutes, at 4am. Central heating was off, no plumbing was in use. I think this has happened before but we thought my daughter had wet the bed. We know that water and heating pipes are in the wall at that point.",STORM
Gutter downpipe had a collapsed drain under front garden and drive which it was running into which has also caused damp on one wall.,ESCAPEWATER
"I dropped my phone by accident and now my home button,volume buttons,loudspeaker mic doesn’t and it intermittently will turn off on its own accord",ADCONTENTS
"The high winds ripped a large air exchange solar panel off an outbuilding, destroying the panel and damaging two panes of greenhouse glass.",STORM
"spilt mug of tea onto ASUS laptop. Left laptop to dry for a week, then took it to BlueWolf IT repairers (see photo). They have been unable to get any response from the laptop, despite cleaning, drying, changing parts etc... and have thus declared the laptop uneconomical to repair.",ADCONTENTS
attempted break in through kitchen window,BURGLARY
Accidental damage to hob,ADCONTENTS
Had to get a plumber out as bath was leaking.upon inspection he said it was coming from flexi pipes.boards are wet plaster on wall is also wet and cushion floor is ruined.plumber does not want to put bath back as he doesnt think the boards will take weight of bath as of how wet they are.,ESCAPEWATER
I was taken ill and had to call an ambulance. Whilst being cannulated by the paramedic i bled on the lounge carpet quite heavily. Whilst in hospital my husband cleaned the carpet and reduced the mess considerably but there is some staining still very evident on the carpet.,ADCONTENTS
Between 1am and 9am on Sunday morning the rear of the property was broken in to. The keys for a vehicle were taken from the kitchen. This includes various keys for the whole house.,BURGLARY
after my husband using the shower tonight i went into the kitchen and saw water dripping through the kitchen ceiling from bathroom above to kitchen below. we have put a bucket under the drip which has slowed down. We cannot use the bathroom and its our only bathroom.,ESCAPEWATER
storm damage resulting in leaking roof,STORM
"Bad winds one day. Our trampoline took flight and went through our neighbours fence taking out a brick pillar too. The fence is salvageable, the pillar needs to be rebuilt and fence bolted back in.  Also patio furniture blew and a glass table smashed. A brick wall also blew over (a 15 brick section is on the floor.",STORM
Theft of TAG watch whilst out of property (item specifically listed on policy),BURGLARY
Locked out of the house at 21:30 requiring a locksmith to gain entry through the rear of the property by drilling the lock and adding a new one,LOSTKEY
leak from the roof into the bathroom,STORM
i lost my iphone 8 whilst I was away from the house,ADSPECIFIED
Leak of water dripping through ceiling,ESCAPEWATER
Water leak from underneath the floor,ESCAPEWATER
The upstairs toilet overflowed and has damaged the carpets and paintwork into rooms below,ESCAPEWATER
we came home from work to find that we had been burgled,BURGLARY
"Inventory company gained access after Bailiffs evicted tenants and found that the property in a poor condition with rubbish and malicious damage including holes in walls and doors, tiles removed - full details in condition report to follow via email",VANDALISM
"I have an issue with blocked drains which first appeared 20/11/18 at which point I paid £70 to have the drain professionally unblocked , however after two weeks the problem is reoccurring but to a lesser degree can you please advise ...",BLOCKEDDRAINS
Our property was broken into,BURGLARY
"there was a problem with the waste water pipe from the bath, so a lot of water escaped and came through the ceiling below. The water came through the cornice, through the ceiling paper and through the light socket. The power fused and the light fittings filled with water, pulling the light from the ceiling. I have dried what remains of the light wiring and the power is back on. A plumber is coming to repair the bath pipe on Tuesday, I'm not aware of damage (yet) to the bathroom or other floors upstairs. The downstairs ceiling needs repapering and the light re-fitting.",ESCAPEWATER
"Roof leaking, water damage to bedroom ceiling",STORM
my house got burgled,BURGLARY
Whilst in new york my rolex watch was either taken or lost,ADSPECIFIED
My two bikes Cannondale Synapse ETAP and Cannondale Jekyll were stolen along with two other bikes which were not separately listed.,BURGLARY
Our walls needed plastered and painted follow cracks to our internal walls.  This was due to the original ball insultation being removed and a new foam insultation being inserted.  Can the decorating costs be covered through our insurance policy.  The final bill was £1120 and the work was completed yesterday.,ADBUILDINGS
Bathtub leak onto downstairs ceiling. Wet patch.,ESCAPEWATER
Ipad has been dropped and screen is smashed and corner the corner is bent upward,ADCONTENTS
Theft of 2 bikes from the garden shed. An Orbea Mud cyclocross bike and a Specialized Allez road bike,BURGLARY
We have a leaking toilet so need a plumber ASAP,ESCAPEWATER
Water leak causing damage to upstairs hallway,ESCAPEWATER
Greenhouse frame has been twisted in storm,STORM
Stone lost down sink of engagement ring,ADSPECIFIED
Guest overflowed Bath. Damage to flat below,PLPROPERTY
I tripped and smashed the screen on my watch,ADCONTENTS
"We had an issue with a blocked drain meaning we couldn't use the bathrooms so had an emergency call out to look into the problem, on the third visit yesterday with a camera it was established that the drain under the path at the side of the house had a joint displacement and a severe root issue was blocked.I was advised that this needs attending to as restoring the flow was only temporary.there are no trees nearby so its general plant  roots.",BLOCKEDDRAINS
Roof has leaked water into one of the front bedrooms,STORM
Render and paint has come off the outside of the house due to storm,STORM
My roof leaked causing plaster damage,ESCAPEWATER
I was moving the laser machine into the other room and dropped it. It now leaks water whenever turned on.,ADCONTENTS
Boiler not working. Indicator showed low water pressure and needs re-filling or bleeding radiators recommended,BOILER
Home emergency cover - boiler Breakdown,BOILER
Moth damage found on wool carpets,OTHER
Moth damage on carpet,OTHER
A water leak from central heating pipe,ESCAPEWATER
we found the downstairs toilet was not flushing as it should and noticed that the drain cover in the garage has water coming out of it,BLOCKEDDRAINS
our house and window got broken into and money and valuables were taken. the windows at back of house needs to be repaired or replaced asap as it is not secure.,BURGLARY
We have water leaking from the side of our property from a pipe and this has caused some dampness to the inside of the property too,ESCAPEWATER
I was putting the rubbish out in the dark and used the torch on my iphone to assist unlocking the padlock on the gate to the side of our house. Whilst doing this I dropped the phone onto the concrete floor which smashed it.,ADCONTENTS
we found water had pooled in the bathroom and when we opened the tv room downstairs the smell was awful then realised water had come into the tv room for the bath above and the roof,STORM
"Boiler leak, dripping water drops",ESCAPEWATER
"Our heating has stopped working and it looks like a pipe has burst, as there is a lot of flooding in the house.",ESCAPEWATER
leaking conservatory roof,ESCAPEWATER
Oilfired boiler producing black smoke and will not fire up.,BOILER
TV in bedroom knocked down and smashed.,ADCONTENTS
burglary happen into my house when I was away to see the doctor at her clinic today.,BURGLARY
herbal tea supplement got spilt on grey stair carpet. Tried to remove with carpet shampoo etc but the yellow liquid had stained the carpet and took the colour out.  The carpet is 6 months old.,ADCONTENTS
"Damage to television, screen cracked top centre. I was cleaning underneath the tv, Put tv on floor, (face down on a rug to enable me to hoover the rear vents of the TV. (my house is very dusty due to pets..) also to allow mw to clean underneath the tv and under the stand When i picked the tv back.up and plugged it back in I realised the tv screen was cracked. It was then i noticed that there was a screwdriver on top of the rug that I had used earlier. I think the tv had neen lying on the screwdriver",ADCONTENTS
Water spilt on laptop,ADCONTENTS
My son knocked the bleach attachment down the toilet and it has now blocked the toilet. Had 2 plumbers out and it is not fixable. Toilet needs knocking out and a new toilet fitted with new tiling to the floor,ADBUILDINGS
"we are unsure, our living room tele has came off its cabinet which can only be down our dogs we can think. the tv now has a crack through the tv and will now get a picture.",ADCONTENTS
my front wall and gates have fallen down.,IMPACT
"someone forced their way in by wedging the french doors open, at the back of the house and stole jewellery",BURGLARY
My house has been broken into,BURGLARY
"hot water cylinder has broken and leaked whilst we were away on holiday, causing flood between the 1st and ground floor. Water has caused damage to floor and carpets of 1st floor/ ceiling of ground floor is falling down, downstairs walls are soaked, downstairs wood floor has absorbed all the water meaning the wood is all twisting, skirting boards damaged downstairs. The hot water cyclinder needs repairing to get hot water/ heating.",ESCAPEWATER
Roof leak from mortar valley at front of house.,STORM
The flat small flat roof leaked for some reason I have contacted a roofing company and although it's not very old I have opted to replace the roofing felt completely. I am claiming for interior damage to the ceilings,STORM
Dropped laptop and the screen has smashed,ADCONTENTS
"Shower leaking water on to the floor, damaging flooring, floor boards, plaster and decoration",ESCAPEWATER
Pinnacle Neon 3 bike,THEFTSPECIFIED
water leak from first floor bsthroom,ESCAPEWATER
Damage to TV when putting back onto the wall,ADCONTENTS
After landing in Cyprus my partner started to adjust the time on his watch when the adjuster and spring became detached from the watch,ADSPECIFIED
in the morning around 7.30am a car hit my gate.  The gate have a lot of damage and is bent as well as coming unmounted from the ground,IMPACT
Metered water supply to house,ESCAPEWATER
Cracked tv screen while moving it,ADCONTENTS
Fire Damage to back door,FIRE
There is water escaping from a pipe within the property. I cannot see where it is coming from,ESCAPEWATER
Diamond fallen out of engagement ring  I’m trying to find out if this is covered,ADCONTENTS
Water leaking from bath through living room ceiling.,ESCAPEWATER
Leak in living room ceiling from ensuite shower room upstairs,ESCAPEWATER
There is a large crack that’s spreading in the garage wall and floor. The garage has also started to leak quite badly. I am concerned over the contents. I can get some more photos as there’s another crack appeared and some bricks have come off the top. I have tried to repair it but it’s just getting larger. To the point now where I’ve put expanding foam in it.,SUBSIDENCE
